TransactionId,ProductId,Quantity
2846,49,7
4713,45,4
3693,35,11
4909,47,18
2247,33,20
1249,27,18
1037,31,13
3291,2,13
2270,26,8
928,29,20
2924,11,15
1489,48,17
3021,5,4
6667,45,9
5957,11,10
4082,38,6
2998,38,16
1079,7,8
1687,41,5
1123,15,14
5084,28,15
5906,47,5
6934,13,16
6478,37,2
1389,46,17
4972,39,11
5676,5,10
103,24,4
4712,38,8
4688,43,3
5308,40,7
5447,1,5
472,33,8
505,13,16
587,11,14
2308,34,1
4646,46,18
1673,40,10
37,45,16
707,7,9
4032,38,14
3304,29,19
7182,40,15
2161,48,4
1349,1,16
4302,18,18
881,27,14
69,36,11
6732,17,1
1288,31,12
2520,11,5
2815,14,14
2852,34,13
46,47,17
4684,12,9
604,33,6
3327,48,7
6518,46,16
4981,9,1
1807,37,15
6421,26,13
2414,21,12
7834,12,3
4881,24,10
4558,9,3
1440,9,1
7962,48,3
7957,35,6
7650,39,16
329,26,2
344,47,16
2267,20,5
1572,39,15
854,1,2
8017,30,6
4868,41,12
4372,6,12
4715,39,17
1751,6,17
7338,32,6
2101,49,8
4363,37,11
3203,24,17
1202,22,16
6037,49,17
5075,30,14
16,17,15
5175,11,2
2681,49,15
5052,32,10
6858,12,6
5481,29,11
70,45,1
6656,38,19
5945,18,1
612,35,1
5487,49,8
276,18,18
1649,43,18
1879,21,13
2910,33,11
7838,30,18
1891,33,13
4822,41,7
7873,3,6
4018,26,4
5315,46,10
4451,11,13
1945,33,10
3987,9,19
6263,11,1
4112,21,8
6631,33,17
6270,10,2
7128,38,12
7969,24,8
3322,9,5
2884,32,1
6572,1,15
3544,5,1
1541,34,18
1596,13,13
353,19,8
6126,15,5
993,6,16
2441,19,1
3293,1,8
5591,23,4
2395,1,10
1251,38,20
6146,7,5
2093,17,17
5027,33,3
3031,43,13
5098,13,6
1060,3,1
424,29,2
3847,24,11
5256,19,5
2038,8,19
768,12,4
3952,20,10
2984,18,16
6154,39,13
8011,17,17
3522,16,13
5759,17,13
674,48,8
1907,7,7
1214,31,6
3858,20,1
3989,24,8
