TransactionId,CustomerId,TransactionDate
1,1,2010-01-01
2,5,2010-01-02
3,3,2010-01-03
4,4,2010-01-04
5,7,2010-01-05
6,7,2010-01-06
7,1,2010-01-07
8,7,2010-01-08
9,4,2010-01-09
10,3,2010-01-10
11,1,2010-01-11
12,1,2010-01-12
13,1,2010-01-13
14,7,2010-01-14
15,2,2010-01-15
16,7,2010-01-16
17,5,2010-01-17
18,4,2010-01-18
19,4,2010-01-19
20,4,2010-01-20
21,7,2010-01-21
22,7,2010-01-22
23,2,2010-01-23
24,6,2010-01-24
25,2,2010-01-25
26,3,2010-01-26
27,1,2010-01-27
28,6,2010-01-28
29,1,2010-01-29
30,4,2010-01-30
31,4,2010-01-31
32,7,2010-02-01
33,6,2010-02-02
34,5,2010-02-03
35,1,2010-02-04
36,5,2010-02-05
37,4,2010-02-06
38,5,2010-02-07
39,4,2010-02-08
40,4,2010-02-09
41,5,2010-02-10
42,6,2010-02-11
43,4,2010-02-12
44,7,2010-02-13
45,6,2010-02-14
46,7,2010-02-15
47,6,2010-02-16
48,5,2010-02-17
49,5,2010-02-18
50,5,2010-02-19
51,2,2010-02-20
52,7,2010-02-21
53,3,2010-02-22
54,2,2010-02-23
55,1,2010-02-24
56,7,2010-02-25
57,3,2010-02-26
58,5,2010-02-27
59,3,2010-02-28
60,1,2010-03-01
61,1,2010-03-02
62,2,2010-03-03
63,6,2010-03-04
64,1,2010-03-05
65,1,2010-03-06
66,3,2010-03-07
67,1,2010-03-08
68,2,2010-03-09
69,5,2010-03-10
70,6,2010-03-11
71,6,2010-03-12
72,6,2010-03-13
73,3,2010-03-14
74,1,2010-03-15
75,7,2010-03-16
76,7,2010-03-17
77,3,2010-03-18
78,6,2010-03-19
79,1,2010-03-20
80,1,2010-03-21
81,6,2010-03-22
82,1,2010-03-23
83,3,2010-03-24
84,5,2010-03-25
85,2,2010-03-26
86,2,2010-03-27
87,4,2010-03-28
88,2,2010-03-29
89,6,2010-03-30
90,6,2010-03-31
91,6,2010-04-01
92,5,2010-04-02
93,5,2010-04-03
94,7,2010-04-04
95,2,2010-04-05
96,2,2010-04-06
97,6,2010-04-07
98,7,2010-04-08
99,3,2010-04-09
100,2,2010-04-10
101,7,2010-04-11
102,7,2010-04-12
103,3,2010-04-13
104,4,2010-04-14
105,1,2010-04-15
106,7,2010-04-16
107,4,2010-04-17
108,1,2010-04-18
109,5,2010-04-19
110,4,2010-04-20
111,5,2010-04-21
112,3,2010-04-22
113,7,2010-04-23
114,1,2010-04-24
115,7,2010-04-25
116,6,2010-04-26
117,7,2010-04-27
118,2,2010-04-28
